flight_number,name,date,rocket,launchpad,success,payload_kg,orbit,landing_success,reused,customer_type,year,month,month_name,landing_attempted,era,payload_category,launch_num_in_year
76,STP-2,2019-06-25,Falcon Heavy,Kennedy,True,3700,MEO,True,True,Government,2019,6,Jun,True,Block 5 Dominance,Medium (1–5t),7
77,CRS-18,2019-07-25,Falcon 9 Block 5,Cape Canaveral,True,2477,LEO,True,True,Government,2019,7,Jul,True,Block 5 Dominance,Medium (1–5t),8
78,AMOS-17,2019-08-06,Falcon 9 Block 5,Cape Canaveral,True,6500,GTO,False,True,Commercial,2019,8,Aug,True,Block 5 Dominance,Heavy (5–10t),9
79,Starlink 1,2019-11-11,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial,2019,11,Nov,True,Block 5 Dominance,Super Heavy (>10t),10
80,CRS-19,2019-12-05,Falcon 9 Block 5,Cape Canaveral,True,2617,LEO,True,True,Government,2019,12,Dec,True,Block 5 Dominance,Medium (1–5t),11
81,JCSat-18/Kacific 1,2019-12-17,Falcon 9 Block 5,Cape Canaveral,True,6956,GTO,True,True,Commercial,2019,12,Dec,True,Block 5 Dominance,Heavy (5–10t),12
82,Starlink 2,2020-01-07,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial,2020,1,Jan,True,Block 5 Dominance,Super Heavy (>10t),1
83,Starlink 3,2020-01-29,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial,2020,1,Jan,True,Block 5 Dominance,Super Heavy (>10t),2
84,Starlink 4,2020-02-17,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial,2020,2,Feb,True,Block 5 Dominance,Super Heavy (>10t),3
85,CRS-20,2020-03-07,Falcon 9 Block 5,Cape Canaveral,True,1977,LEO,True,True,Government,2020,3,Mar,True,Block 5 Dominance,Medium (1–5t),4
86,Starlink 5,2020-03-18,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial,2020,3,Mar,True,Block 5 Dominance,Super Heavy (>10t),5
87,Starlink 6,2020-04-22,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial,2020,4,Apr,True,Block 5 Dominance,Super Heavy (>10t),6
89,Crew Dragon Demo-2,2020-05-30,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Government,2020,5,May,True,Block 5 Dominance,Super Heavy (>10t),7
88,Starlink 7,2020-06-04,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial,2020,6,Jun,True,Block 5 Dominance,Super Heavy (>10t),8
90,GPS III SV03,2020-06-30,Falcon 9 Block 5,Cape Canaveral,True,3880,MEO,True,False,Government,2020,6,Jun,True,Block 5 Dominance,Medium (1–5t),9
91,Starlink 9 / SAOCOM 1B,2020-08-07,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial,2020,8,Aug,True,Block 5 Dominance,Super Heavy (>10t),10
92,Starlink 10,2020-08-18,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial,2020,8,Aug,True,Block 5 Dominance,Super Heavy (>10t),11
93,SAOCOM 1B,2020-08-30,Falcon 9 Block 5,Cape Canaveral,True,3000,SSO,True,True,Government,2020,8,Aug,True,Block 5 Dominance,Medium (1–5t),12
94,Starlink 11,2020-09-03,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial,2020,9,Sep,True,Block 5 Dominance,Super Heavy (>10t),13
95,Starlink 12,2020-10-06,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial,2020,10,Oct,True,Block 5 Dominance,Super Heavy (>10t),14
96,GPS III SV04,2020-11-05,Falcon 9 Block 5,Cape Canaveral,True,3880,MEO,True,True,Government,2020,11,Nov,True,Block 5 Dominance,Medium (1–5t),15
97,Crew-1,2020-11-16,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Government,2020,11,Nov,True,Block 5 Dominance,Super Heavy (>10t),16
98,Sentinel-6 Michael Freilich,2020-11-21,Falcon 9 Block 5,Vandenberg,True,1440,LEO,True,False,Government,2020,11,Nov,True,Block 5 Dominance,Medium (1–5t),17
99,Starlink 15,2020-11-24,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial,2020,11,Nov,True,Block 5 Dominance,Super Heavy (>10t),18
100,SXM-7,2020-12-13,Falcon 9 Block 5,Cape Canaveral,True,7000,GTO,True,True,Commercial,2020,12,Dec,True,Block 5 Dominance,Heavy (5–10t),19
101,Turksat 5A,2021-01-08,Falcon 9 Block 5,Cape Canaveral,True,3500,GTO,True,True,Commercial,2021,1,Jan,True,Starlink Scale-Up,Medium (1–5t),1
102,Starlink 16,2021-01-20,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial,2021,1,Jan,True,Starlink Scale-Up,Super Heavy (>10t),2
103,Starlink 17,2021-02-04,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial,2021,2,Feb,True,Starlink Scale-Up,Super Heavy (>10t),3
104,Starlink 18,2021-02-16,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial,2021,2,Feb,True,Starlink Scale-Up,Super Heavy (>10t),4
105,Crew-2,2021-04-23,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Government,2021,4,Apr,True,Starlink Scale-Up,Super Heavy (>10t),5
106,Starlink 22,2021-05-09,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial,2021,5,May,True,Starlink Scale-Up,Super Heavy (>10t),6
107,Starlink 26,2021-05-26,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial,2021,5,May,True,Starlink Scale-Up,Super Heavy (>10t),7
109,CRS-22,2021-06-03,Falcon 9 Block 5,Kennedy,True,3328,LEO,True,True,Government,2021,6,Jun,True,Starlink Scale-Up,Medium (1–5t),8
108,SXM-8,2021-06-06,Falcon 9 Block 5,Cape Canaveral,True,7000,GTO,True,True,Commercial,2021,6,Jun,True,Starlink Scale-Up,Heavy (5–10t),9
110,Transporter-2,2021-06-30,Falcon 9 Block 5,Cape Canaveral,True,5000,SSO,True,True,Commercial,2021,6,Jun,True,Starlink Scale-Up,Medium (1–5t),10
111,Inspiration4,2021-09-16,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Commercial,2021,9,Sep,True,Starlink Scale-Up,Super Heavy (>10t),11
112,Crew-3,2021-11-11,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Government,2021,11,Nov,True,Starlink Scale-Up,Super Heavy (>10t),12
113,Starlink Group 2-1,2021-12-02,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial,2021,12,Dec,True,Starlink Scale-Up,Super Heavy (>10t),13
114,Starlink Group 4-5,2022-01-06,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial,2022,1,Jan,True,Starlink Scale-Up,Super Heavy (>10t),1
115,Transporter-3,2022-01-13,Falcon 9 Block 5,Cape Canaveral,True,5000,SSO,True,True,Commercial,2022,1,Jan,True,Starlink Scale-Up,Medium (1–5t),2
116,Starlink Group 4-6,2022-01-18,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial,2022,1,Jan,True,Starlink Scale-Up,Super Heavy (>10t),3
117,CSG-2,2022-01-24,Falcon 9 Block 5,Vandenberg,True,2200,SSO,True,True,Government,2022,1,Jan,True,Starlink Scale-Up,Medium (1–5t),4
118,Crew-4,2022-04-27,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Government,2022,4,Apr,True,Starlink Scale-Up,Super Heavy (>10t),5
119,CRS-25,2022-07-15,Falcon 9 Block 5,Kennedy,True,3270,LEO,True,True,Government,2022,7,Jul,True,Starlink Scale-Up,Medium (1–5t),6
120,KPLO,2022-08-05,Falcon 9 Block 5,Cape Canaveral,True,678,Lunar,True,True,Government,2022,8,Aug,True,Starlink Scale-Up,Light (<1t),7
121,Crew-5,2022-10-05,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Government,2022,10,Oct,True,Starlink Scale-Up,Super Heavy (>10t),8
122,Galaxy 31 & 32,2022-11-12,Falcon 9 Block 5,Cape Canaveral,True,6300,GTO,True,True,Commercial,2022,11,Nov,True,Starlink Scale-Up,Heavy (5–10t),9
123,Hakuto-R M1 / Lunar Flashlight,2022-12-11,Falcon 9 Block 5,Cape Canaveral,True,1000,Lunar,True,True,Commercial,2022,12,Dec,True,Starlink Scale-Up,Light (<1t),10
125,Crew-6,2023-03-02,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Government,2023,3,Mar,True,Starlink Scale-Up,Super Heavy (>10t),1
126,Transporter-7,2023-04-15,Falcon 9 Block 5,Vandenberg,True,5000,SSO,True,True,Commercial,2023,4,Apr,True,Starlink Scale-Up,Medium (1–5t),2
124,Starship IFT-1,2023-04-20,Starship,Boca Chica,False,0,Suborbital,False,False,Commercial,2023,4,Apr,True,Starlink Scale-Up,Unknown/Classified,3
128,Crew-7,2023-08-26,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Government,2023,8,Aug,True,Starlink Scale-Up,Super Heavy (>10t),4
129,CRS-29,2023-11-09,Falcon 9 Block 5,Kennedy,True,3079,LEO,True,True,Government,2023,11,Nov,True,Starlink Scale-Up,Medium (1–5t),5
127,Starship IFT-2,2023-11-18,Starship,Boca Chica,False,0,Suborbital,False,False,Commercial,2023,11,Nov,True,Starlink Scale-Up,Unknown/Classified,6
131,Crew-8,2024-03-03,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Government,2024,3,Mar,True,Starlink Scale-Up,Super Heavy (>10t),1
130,Starship IFT-3,2024-03-14,Starship,Boca Chica,True,0,Suborbital,False,False,Commercial,2024,3,Mar,True,Starlink Scale-Up,Unknown/Classified,2
132,Starship IFT-4,2024-06-06,Starship,Boca Chica,True,0,Suborbital,True,False,Commercial,2024,6,Jun,True,Starlink Scale-Up,Unknown/Classified,3
134,Crew-9,2024-09-29,Falcon 9 Block 5,Cape Canaveral,True,12055,LEO,True,True,Government,2024,9,Sep,True,Starlink Scale-Up,Super Heavy (>10t),4
133,Starship IFT-5,2024-10-13,Starship,Boca Chica,True,0,Suborbital,True,False,Commercial,2024,10,Oct,True,Starlink Scale-Up,Unknown/Classified,5
135,Starship IFT-6,2024-11-19,Starship,Boca Chica,True,0,Suborbital,True,False,Commercial,2024,11,Nov,True,Starlink Scale-Up,Unknown/Classified,6
