flight_number,name,date,rocket,launchpad,success,payload_kg,orbit,landing_success,reused,customer_type
70,Iridium NEXT 7,2019-01-11,Falcon 9 Block 5,Vandenberg,True,9600,Polar,True,True,Commercial
71,Crew Dragon Demo-1,2019-03-02,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,False,Government
72,Arabsat-6A,2019-04-11,Falcon Heavy,Kennedy,True,6465,GTO,True,False,Commercial
73,CRS-17,2019-05-04,Falcon 9 Block 5,Cape Canaveral,True,2723,LEO,True,True,Government
74,Starlink v0.9,2019-05-24,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial
75,RADARSAT Constellation,2019-06-12,Falcon 9 Block 5,Vandenberg,True,4350,SSO,True,False,Government
76,STP-2,2019-06-25,Falcon Heavy,Kennedy,True,3700,MEO,True,True,Government
77,CRS-18,2019-07-25,Falcon 9 Block 5,Cape Canaveral,True,2477,LEO,True,True,Government
78,AMOS-17,2019-08-06,Falcon 9 Block 5,Cape Canaveral,True,6500,GTO,False,True,Commercial
79,Starlink 1,2019-11-11,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial
80,CRS-19,2019-12-05,Falcon 9 Block 5,Cape Canaveral,True,2617,LEO,True,True,Government
81,JCSat-18/Kacific 1,2019-12-17,Falcon 9 Block 5,Cape Canaveral,True,6956,GTO,True,True,Commercial
82,Starlink 2,2020-01-07,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial
83,Starlink 3,2020-01-29,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial
84,Starlink 4,2020-02-17,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial
85,CRS-20,2020-03-07,Falcon 9 Block 5,Cape Canaveral,True,1977,LEO,True,True,Government
86,Starlink 5,2020-03-18,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial
87,Starlink 6,2020-04-22,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial
88,Starlink 7,2020-06-04,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial
89,Crew Dragon Demo-2,2020-05-30,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Government
90,GPS III SV03,2020-06-30,Falcon 9 Block 5,Cape Canaveral,True,3880,MEO,True,False,Government
91,Starlink 9 / SAOCOM 1B,2020-08-07,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial
92,Starlink 10,2020-08-18,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial
93,SAOCOM 1B,2020-08-30,Falcon 9 Block 5,Cape Canaveral,True,3000,SSO,True,True,Government
94,Starlink 11,2020-09-03,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial
95,Starlink 12,2020-10-06,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial
96,GPS III SV04,2020-11-05,Falcon 9 Block 5,Cape Canaveral,True,3880,MEO,True,True,Government
97,Crew-1,2020-11-16,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Government
98,Sentinel-6 Michael Freilich,2020-11-21,Falcon 9 Block 5,Vandenberg,True,1440,LEO,True,False,Government
99,Starlink 15,2020-11-24,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial
100,SXM-7,2020-12-13,Falcon 9 Block 5,Cape Canaveral,True,7000,GTO,True,True,Commercial
101,Turksat 5A,2021-01-08,Falcon 9 Block 5,Cape Canaveral,True,3500,GTO,True,True,Commercial
102,Starlink 16,2021-01-20,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial
103,Starlink 17,2021-02-04,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial
104,Starlink 18,2021-02-16,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial
105,Crew-2,2021-04-23,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Government
106,Starlink 22,2021-05-09,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial
107,Starlink 26,2021-05-26,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial
108,SXM-8,2021-06-06,Falcon 9 Block 5,Cape Canaveral,True,7000,GTO,True,True,Commercial
109,CRS-22,2021-06-03,Falcon 9 Block 5,Kennedy,True,3328,LEO,True,True,Government
110,Transporter-2,2021-06-30,Falcon 9 Block 5,Cape Canaveral,True,5000,SSO,True,True,Commercial
111,Inspiration4,2021-09-16,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Commercial
112,Crew-3,2021-11-11,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Government
113,Starlink Group 2-1,2021-12-02,Falcon 9 Block 5,Cape Canaveral,True,18500,LEO,True,True,Commercial
114,Starlink Group 4-5,2022-01-06,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial
115,Transporter-3,2022-01-13,Falcon 9 Block 5,Cape Canaveral,True,5000,SSO,True,True,Commercial
116,Starlink Group 4-6,2022-01-18,Falcon 9 Block 5,Kennedy,True,18500,LEO,True,True,Commercial
117,CSG-2,2022-01-24,Falcon 9 Block 5,Vandenberg,True,2200,SSO,True,True,Government
118,Crew-4,2022-04-27,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Government
119,CRS-25,2022-07-15,Falcon 9 Block 5,Kennedy,True,3270,LEO,True,True,Government
120,KPLO,2022-08-05,Falcon 9 Block 5,Cape Canaveral,True,678,Lunar,True,True,Government
121,Crew-5,2022-10-05,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Government
122,Galaxy 31 & 32,2022-11-12,Falcon 9 Block 5,Cape Canaveral,True,6300,GTO,True,True,Commercial
123,Hakuto-R M1 / Lunar Flashlight,2022-12-11,Falcon 9 Block 5,Cape Canaveral,True,1000,Lunar,True,True,Commercial
124,Starship IFT-1,2023-04-20,Starship,Boca Chica,False,0,Suborbital,False,False,Commercial
125,Crew-6,2023-03-02,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Government
126,Transporter-7,2023-04-15,Falcon 9 Block 5,Vandenberg,True,5000,SSO,True,True,Commercial
127,Starship IFT-2,2023-11-18,Starship,Boca Chica,False,0,Suborbital,False,False,Commercial
128,Crew-7,2023-08-26,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Government
129,CRS-29,2023-11-09,Falcon 9 Block 5,Kennedy,True,3079,LEO,True,True,Government
130,Starship IFT-3,2024-03-14,Starship,Boca Chica,True,0,Suborbital,False,False,Commercial
131,Crew-8,2024-03-03,Falcon 9 Block 5,Kennedy,True,12055,LEO,True,True,Government
132,Starship IFT-4,2024-06-06,Starship,Boca Chica,True,0,Suborbital,True,False,Commercial
133,Starship IFT-5,2024-10-13,Starship,Boca Chica,True,0,Suborbital,True,False,Commercial
134,Crew-9,2024-09-29,Falcon 9 Block 5,Cape Canaveral,True,12055,LEO,True,True,Government
135,Starship IFT-6,2024-11-19,Starship,Boca Chica,True,0,Suborbital,True,False,Commercial
